Latitude (decimal degrees):	-33.843
Longitude (decimal degrees):	18.834
Elevation (m):	202
Radiation database:	PVGIS-SARAH3


Slope: 29 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230413:1402,153.08,206.09,26.63,19.09,3.1,0.0
20230413:1502,10.49,24.69,15.62,17.86,2.83,0.0
20230413:1602,0.59,7.29,3.78,16.64,2.28,0.0
20230413:1702,0.0,0.0,0.0,15.43,1.59,0.0
20230413:1802,0.0,0.0,0.0,14.67,1.1,0.0
20230413:1902,0.0,0.0,0.0,14.68,1.38,0.0
20230413:2002,0.0,0.0,0.0,13.99,1.52,0.0
20230413:2102,0.0,0.0,0.0,13.49,1.79,0.0
20230413:2202,0.0,0.0,0.0,13.33,2.07,0.0
20230413:2302,0.0,0.0,0.0,13.18,1.93,0.0
20230414:0002,0.0,0.0,0.0,13.19,1.93,0.0
20230414:0102,0.0,0.0,0.0,13.37,1.93,0.0
20230414:0202,0.0,0.0,0.0,13.11,2.0,0.0
20230414:0302,0.0,0.0,0.0,12.69,2.21,0.0
20230414:0402,0.0,0.0,0.0,11.98,2.28,0.0
20230414:0502,0.0,0.0,0.0,11.59,2.21,0.0
20230414:0602,14.87,32.28,10.33,11.95,1.93,0.0
20230414:0702,65.38,133.19,21.73,13.78,2.9,0.0
20230414:0802,144.9,229.54,31.99,14.89,3.1,0.0
20230414:0902,212.67,303.99,40.31,15.91,3.24,0.0
20230414:1002,251.14,346.62,45.55,16.84,3.24,0.0
20230414:1102,260.46,356.54,46.55,17.7,3.24,0.0
20230414:1202,233.59,328.12,43.02,18.29,3.38,0.0
20230414:1302,176.93,266.4,35.87,18.31,3.45,0.0
20230414:1402,100.83,178.63,26.33,17.85,3.45,0.0
20230414:1502,36.21,80.25,15.34,17.04,3.38,0.0
20230414:1602,7.0,19.13,3.52,15.75,2.97,0.0
20230414:1702,0.0,0.0,0.0,14.31,3.1,0.0
20230414:1802,0.0,0.0,0.0,13.45,2.97,0.0
20230414:1902,0.0,0.0,0.0,13.05,2.28,0.0
20230414:2002,0.0,0.0,0.0,12.3,2.21,0.0
20230414:2102,0.0,0.0,0.0,11.6,2.21,0.0
20230414:2202,0.0,0.0,0.0,10.99,2.07,0.0
20230414:2302,0.0,0.0,0.0,10.54,2.0,0.0
20230415:0002,0.0,0.0,0.0,10.15,2.07,0.0
20230415:0102,0.0,0.0,0.0,9.74,1.93,0.0
20230415:0202,0.0,0.0,0.0,9.32,1.79,0.0
20230415:0302,0.0,0.0,0.0,8.81,1.79,0.0
20230415:0402,0.0,0.0,0.0,8.37,1.79,0.0
20230415:0502,0.0,0.0,0.0,8.05,1.86,0.0
20230415:0602,26.59,45.54,10.16,9.0,1.86,0.0
20230415:0702,63.84,129.72,21.54,13.32,1.79,0.0
20230415:0802,138.34,224.67,31.75,16.68,1.79,0.0
20230415:0902,204.0,299.14,40.03,19.11,1.86,0.0
20230415:1002,240.25,341.66,45.22,20.9,1.86,0.0
20230415:1102,247.76,351.11,46.18,22.22,1.72,0.0
20230415:1202,218.74,320.55,42.67,23.07,1.79,0.0
20230415:1302,166.46,260.68,35.54,23.37,2.07,0.0
20230415:1402,93.35,173.07,26.03,23.01,2.41,0.0
20230415:1502,32.82,75.36,15.06,21.99,2.34,0.0
20230415:1602,5.71,17.31,3.26,20.23,2.0,0.0
20230415:1702,0.0,0.0,0.0,18.45,1.86,0.0
20230415:1802,0.0,0.0,0.0,16.71,1.79,0.0
20230415:1902,0.0,0.0,0.0,14.99,1.93,0.0
20230415:2002,0.0,0.0,0.0,13.8,1.93,0.0
20230415:2102,0.0,0.0,0.0,12.86,2.0,0.0
20230415:2202,0.0,0.0,0.0,12.12,2.07,0.0
20230415:2302,0.0,0.0,0.0,11.5,2.21,0.0
20230416:0002,0.0,0.0,0.0,10.94,2.21,0.0
20230416:0102,0.0,0.0,0.0,10.69,2.28,0.0
20230416:0202,0.0,0.0,0.0,10.27,2.28,0.0
20230416:0302,0.0,0.0,0.0,9.94,2.28,0.0
20230416:0402,0.0,0.0,0.0,9.69,2.21,0.0
20230416:0502,0.0,0.0,0.0,9.56,2.21,0.0
20230416:0602,24.27,42.81,10.0,10.5,2.0,0.0
20230416:0702,60.13,125.51,21.34,15.04,1.59,0.0
20230416:0802,132.6,221.03,31.52,20.48,1.17,0.0
20230416:0902,193.29,294.8,39.74,24.38,0.69,0.0
20230416:1002,226.84,336.91,44.88,26.7,0.48,0.0
20230416:1102,233.9,345.03,45.82,27.77,0.97,0.0
20230416:1202,207.56,315.37,42.31,28.13,1.1,0.0
20230416:1302,157.69,255.91,35.21,27.87,1.24,0.0
20230416:1402,88.29,168.75,25.73,27.03,1.45,0.0
20230416:1502,30.58,71.11,14.79,25.6,1.66,0.0
20230416:1602,4.55,15.48,3.0,23.56,1.52,0.0
20230416:1702,0.0,0.0,0.0,21.04,1.52,0.0
20230416:1802,0.0,0.0,0.0,19.11,1.66,0.0
20230416:1902,0.0,0.0,0.0,16.8,1.86,0.0
20230416:2002,0.0,0.0,0.0,15.38,1.93,0.0
20230416:2102,0.0,0.0,0.0,14.13,2.0,0.0
20230416:2202,0.0,0.0,0.0,13.02,2.0,0.0
20230416:2302,0.0,0.0,0.0,12.22,2.07,0.0
20230417:0002,0.0,0.0,0.0,11.68,2.07,0.0
20230417:0102,0.0,0.0,0.0,11.21,2.07,0.0
20230417:0202,0.0,0.0,0.0,10.93,2.0,0.0
20230417:0302,0.0,0.0,0.0,10.89,1.93,0.0
20230417:0402,0.0,0.0,0.0,10.81,1.93,0.0
20230417:0502,0.0,0.0,0.0,10.8,1.93,0.0
20230417:0602,24.12,42.81,9.83,11.65,1.66,0.0
20230417:0702,57.55,122.21,21.15,16.55,0.97,0.0
20230417:0802,126.7,216.97,31.28,22.73,0.62,0.0
20230417:0902,187.37,290.76,39.46,25.57,0.21,0.0
20230417:1002,223.44,332.83,44.55,26.76,1.03,0.0
20230417:1102,232.36,341.93,45.47,27.07,1.38,0.0
20230417:1202,206.89,312.74,41.96,27.13,1.38,0.0
20230417:1302,155.9,252.6,34.89,27.08,1.17,0.0
20230417:1402,85.85,164.98,25.43,26.39,1.31,0.0
20230417:1502,27.86,65.55,14.52,24.77,1.38,0.0
20230417:1602,4.08,14.57,2.75,22.49,1.52,0.0
20230417:1702,0.0,0.0,0.0,19.95,1.38,0.0
20230417:1802,0.0,0.0,0.0,17.78,1.38,0.0
20230417:1902,0.0,0.0,0.0,15.97,1.52,0.0
20230417:2002,0.0,0.0,0.0,14.88,1.59,0.0
20230417:2102,0.0,0.0,0.0,13.9,1.59,0.0
20230417:2202,0.0,0.0,0.0,12.91,1.59,0.0
20230417:2302,0.0,0.0,0.0,12.32,1.59,0.0
20230418:0002,0.0,0.0,0.0,11.82,1.59,0.0
20230418:0102,0.0,0.0,0.0,11.16,1.59,0.0
20230418:0202,0.0,0.0,0.0,10.39,1.66,0.0
20230418:0302,0.0,0.0,0.0,9.68,1.66,0.0
20230418:0402,0.0,0.0,0.0,9.42,1.66,0.0
20230418:0502,0.0,0.0,0.0,9.39,1.66,0.0
20230418:0602,22.9,40.99,9.66,10.13,1.45,0.0
20230418:0702,51.61,114.55,20.95,14.73,0.9,0.0
20230418:0802,121.95,209.47,31.05,19.51,0.97,0.0
20230418:0902,185.16,283.54,39.18,22.08,0.9,0.0
20230418:1002,219.4,324.98,44.22,23.93,0.76,0.0
20230418:1102,227.9,335.31,45.11,25.25,0.55,0.0
20230418:1202,201.3,305.66,41.62,26.07,0.9,0.0
20230418:1302,151.14,245.94,34.57,26.17,1.31,0.0
20230418:1402,81.8,158.71,25.14,25.31,1.79,0.0
20230418:1502,25.86,60.1,14.25,23.48,1.86,0.0
20230418:1602,3.13,12.75,2.5,21.15,1.72,0.0
20230418:1702,0.0,0.0,0.0,19.09,1.66,0.0
20230418:1802,0.0,0.0,0.0,17.35,1.72,0.0
20230418:1902,0.0,0.0,0.0,15.77,1.79,0.0
20230418:2002,0.0,0.0,0.0,14.9,1.79,0.0
20230418:2102,0.0,0.0,0.0,14.14,1.79,0.0
20230418:2202,0.0,0.0,0.0,13.4,1.86,0.0
20230418:2302,0.0,0.0,0.0,12.51,1.86,0.0
20230419:0002,0.0,0.0,0.0,11.73,1.86,0.0
20230419:0102,0.0,0.0,0.0,11.23,1.86,0.0
20230419:0202,0.0,0.0,0.0,10.75,1.79,0.0
20230419:0302,0.0,0.0,0.0,10.67,1.86,0.0
20230419:0402,0.0,0.0,0.0,10.58,1.86,0.0
20230419:0502,0.0,0.0,0.0,10.58,1.86,0.0
20230419:0602,29.01,49.18,9.5,12.07,1.59,0.0
20230419:0702,70.74,127.4,20.76,16.19,1.03,0.0
20230419:0802,140.29,221.52,30.82,21.91,0.41,0.0
20230419:0902,182.07,279.62,38.89,24.26,0.48,0.0
20230419:1002,239.8,341.05,43.89,25.63,0.97,0.0
20230419:1102,226.81,330.82,44.76,26.13,1.38,0.0
20230419:1202,226.91,323.74,41.27,25.87,1.59,0.0
20230419:1302,179.55,265.12,34.25,25.02,1.52,0.0
20230419:1402,135.83,197.03,24.85,24.25,1.38,0.0
20230419:1502,41.66,74.86,13.99,23.27,1.38,0.0
20230419:1602,0.93,8.2,2.25,21.73,1.45,0.0
20230419:1702,0.0,0.0,0.0,19.35,1.31,0.0
20230419:1802,0.0,0.0,0.0,18.13,1.66,0.0
20230419:1902,0.0,0.0,0.0,16.79,2.21,0.0
20230419:2002,0.0,0.0,0.0,15.66,2.48,0.0
20230419:2102,0.0,0.0,0.0,14.72,2.9,0.0
20230419:2202,0.0,0.0,0.0,14.07,3.38,0.0
20230419:2302,0.0,0.0,0.0,13.64,3.79,0.0
20230420:0002,0.0,0.0,0.0,13.49,4.0,0.0
20230420:0102,0.0,0.0,0.0,13.44,4.62,0.0
20230420:0202,0.0,0.0,0.0,13.47,4.69,0.0
20230420:0302,0.0,0.0,0.0,13.37,5.03,0.0
20230420:0402,0.0,0.0,0.0,13.49,3.93,0.0
20230420:0502,0.0,0.0,0.0,13.47,3.24,0.0
20230420:0602,31.68,52.83,9.33,13.54,3.45,0.0
20230420:0702,75.24,127.52,20.56,13.37,3.86,0.0
20230420:0802,181.0,231.96,30.58,13.23,4.34,0.0
20230420:0902,231.6,292.44,38.61,14.63,3.52,0.0
20230420:1002,274.61,352.4,43.57,14.34,4.28,0.0
20230420:1102,248.77,309.27,44.41,14.14,4.48,0.0
20230420:1202,251.9,329.09,40.93,14.67,3.66,0.0
20230420:1302,211.95,272.46,33.94,14.07,3.79,0.0
20230420:1402,137.12,189.55,24.56,13.96,3.59,0.0
20230420:1502,30.62,57.71,13.73,13.26,3.24,0.0
20230420:1602,0.63,7.29,2.01,12.34,2.62,0.0
20230420:1702,0.0,0.0,0.0,11.49,2.07,0.0
20230420:1802,0.0,0.0,0.0,11.04,1.93,0.0
20230420:1902,0.0,0.0,0.0,11.13,1.59,0.0
20230420:2002,0.0,0.0,0.0,10.84,1.24,0.0
20230420:2102,0.0,0.0,0.0,10.84,0.97,0.0
20230420:2202,0.0,0.0,0.0,10.6,0.9,0.0
20230420:2302,0.0,0.0,0.0,10.57,0.97,0.0
20230421:0002,0.0,0.0,0.0,10.26,0.9,0.0
20230421:0102,0.0,0.0,0.0,10.46,0.83,0.0
20230421:0202,0.0,0.0,0.0,9.88,1.1,0.0
20230421:0302,0.0,0.0,0.0,9.56,1.31,0.0
20230421:0402,0.0,0.0,0.0,9.34,1.38,0.0
20230421:0502,0.0,0.0,0.0,9.34,1.17,0.0
20230421:0602,38.1,60.11,9.17,9.82,0.97,0.0
20230421:0702,45.65,101.48,20.37,11.97,0.62,0.0
20230421:0802,108.49,190.07,30.35,13.3,1.24,0.0
20230421:0902,174.84,263.75,38.33,14.18,0.97,0.0
20230421:1002,210.48,304.13,43.25,15.04,0.41,0.0
20230421:1102,218.35,313.04,44.07,15.86,0.21,0.0
20230421:1202,200.59,290.81,40.59,16.39,0.69,0.0
20230421:1302,191.94,266.08,33.62,16.43,1.38,0.0
20230421:1402,132.53,177.51,24.28,15.66,2.07,0.0
20230421:1502,23.72,42.72,13.47,14.42,2.0,0.0
20230421:1602,0.62,7.29,1.77,13.63,1.59,0.0
20230421:1702,0.0,0.0,0.0,12.99,1.66,0.0
20230421:1802,0.0,0.0,0.0,12.56,1.45,0.0
20230421:1902,0.0,0.0,0.0,12.39,1.38,0.0
20230421:2002,0.0,0.0,0.0,12.02,1.17,0.0
20230421:2102,0.0,0.0,0.0,11.56,0.9,0.0
20230421:2202,0.0,0.0,0.0,11.36,1.1,0.0
20230421:2302,0.0,0.0,0.0,12.43,0.28,0.0
20230422:0002,0.0,0.0,0.0,11.91,0.76,0.0
20230422:0102,0.0,0.0,0.0,11.95,0.48,0.0
20230422:0202,0.0,0.0,0.0,10.73,1.1,0.0
20230422:0302,0.0,0.0,0.0,10.61,1.38,0.0
20230422:0402,0.0,0.0,0.0,10.84,1.59,0.0
20230422:0502,0.0,0.0,0.0,9.99,1.79,0.0
20230422:0602,10.27,23.68,9.0,9.9,2.62,0.0
20230422:0702,17.02,33.23,20.17,10.71,2.14,0.0
20230422:0802,52.49,77.85,30.12,11.34,2.97,0.0
20230422:0902,46.88,71.21,38.05,11.85,3.52,0.0
20230422:1002,72.89,102.54,42.92,12.86,4.14,0.0
20230422:1102,173.87,220.54,43.73,13.99,4.28,0.0
20230422:1202,68.31,97.79,40.26,14.51,4.21,0.0
20230422:1302,58.04,85.45,33.32,14.42,4.28,0.0
20230422:1402,18.84,36.08,24.0,13.78,4.0,0.0
20230422:1502,40.34,63.46,13.21,12.69,3.52,0.0
20230422:1602,0.0,0.91,1.53,12.04,3.72,0.0
20230422:1702,0.0,0.0,0.0,11.91,3.66,0.0
20230422:1802,0.0,0.0,0.0,12.0,3.86,0.0
20230422:1902,0.0,0.0,0.0,12.45,3.52,0.0
20230422:2002,0.0,0.0,0.0,12.58,3.52,0.0
20230422:2102,0.0,0.0,0.0,12.74,3.79,0.0
20230422:2202,0.0,0.0,0.0,12.88,3.59,0.0
20230422:2302,0.0,0.0,0.0,12.65,3.59,0.0
20230423:0002,0.0,0.0,0.0,12.87,3.72,0.0
20230423:0102,0.0,0.0,0.0,13.07,3.59,0.0
20230423:0202,0.0,0.0,0.0,13.27,3.38,0.0
20230423:0302,0.0,0.0,0.0,13.49,3.17,0.0
20230423:0402,0.0,0.0,0.0,13.71,3.31,0.0
20230423:0502,0.0,0.0,0.0,13.85,3.66,0.0
20230423:0602,32.36,53.74,8.84,13.84,3.66,0.0
20230423:0702,60.44,88.3,19.98,14.18,3.59,0.0
20230423:0802,69.06,98.74,29.88,14.52,3.59,0.0
20230423:0902,89.85,123.43,37.78,14.76,3.79,0.0
20230423:1002,102.77,138.62,42.61,14.83,3.79,0.0
20230423:1102,193.08,244.31,43.39,15.16,4.34,0.0
20230423:1202,79.76,112.03,39.93,15.82,3.66,0.0
20230423:1302,27.18,47.47,33.01,15.77,3.31,0.0
20230423:1402,47.41,73.11,23.73,16.14,3.38,0.0
20230423:1502,32.03,53.74,12.96,15.74,3.17,0.0
20230423:1602,0.0,0.91,1.3,15.59,3.1,0.0
20230423:1702,0.0,0.0,0.0,15.45,2.97,0.0
20230423:1802,0.0,0.0,0.0,15.42,3.03,0.0
20230423:1902,0.0,0.0,0.0,15.78,2.97,0.0
20230423:2002,0.0,0.0,0.0,15.89,3.1,0.0
20230423:2102,0.0,0.0,0.0,16.01,3.1,0.0
20230423:2202,0.0,0.0,0.0,16.16,3.17,0.0
20230423:2302,0.0,0.0,0.0,16.3,2.97,0.0
20230424:0002,0.0,0.0,0.0,16.4,2.76,0.0
20230424:0102,0.0,0.0,0.0,16.73,2.62,0.0
20230424:0202,0.0,0.0,0.0,16.51,2.69,0.0
20230424:0302,0.0,0.0,0.0,16.39,2.83,0.0
20230424:0402,0.0,0.0,0.0,16.23,2.21,0.0
20230424:0502,0.0,0.0,0.0,16.09,2.0,0.0
20230424:0602,22.89,41.9,8.67,16.04,1.79,0.0
20230424:0702,46.68,72.16,19.79,15.89,2.97,0.0
20230424:0802,31.52,53.17,29.65,16.23,3.24,0.0
20230424:0902,96.93,132.92,37.5,16.77,3.45,0.0
20230424:1002,206.99,264.53,42.29,18.15,4.28,0.0
20230424:1102,182.85,236.2,43.06,18.97,4.34,0.0
20230424:1202,210.32,292.04,39.61,18.83,3.86,0.0
20230424:1302,190.27,256.56,32.71,18.8,3.52,0.0
20230424:1402,113.99,167.73,23.46,18.36,3.03,0.0
20230424:1502,54.86,82.88,12.71,17.81,2.48,0.0
20230424:1602,0.0,0.0,0.0,16.83,1.72,0.0
20230424:1702,0.0,0.0,0.0,16.08,1.03,0.0
20230424:1802,0.0,0.0,0.0,15.61,0.83,0.0
20230424:1902,0.0,0.0,0.0,14.69,0.83,0.0
20230424:2002,0.0,0.0,0.0,14.45,0.76,0.0
20230424:2102,0.0,0.0,0.0,14.02,0.76,0.0
20230424:2202,0.0,0.0,0.0,13.16,0.76,0.0
20230424:2302,0.0,0.0,0.0,12.81,0.76,0.0
20230425:0002,0.0,0.0,0.0,12.29,0.9,0.0
20230425:0102,0.0,0.0,0.0,12.35,0.9,0.0
20230425:0202,0.0,0.0,0.0,12.2,0.9,0.0
20230425:0302,0.0,0.0,0.0,12.04,0.97,0.0
20230425:0402,0.0,0.0,0.0,10.55,0.97,0.0
20230425:0502,0.0,0.0,0.0,10.17,1.03,0.0
20230425:0602,32.82,53.74,8.51,10.59,1.03,0.0
20230425:0702,78.26,122.6,19.59,12.29,0.97,0.0
20230425:0802,89.99,168.16,29.42,15.52,0.62,0.0
20230425:0902,158.36,245.78,37.23,17.43,0.07,0.0
20230425:1002,182.33,276.75,41.98,18.4,0.48,0.0
20230425:1102,185.2,281.64,42.73,19.36,0.69,0.0
20230425:1202,157.11,252.35,39.29,19.85,1.17,0.0
20230425:1302,108.88,194.18,32.42,19.82,1.72,0.0
20230425:1402,49.82,112.8,23.19,19.16,2.14,0.0
20230425:1502,32.33,54.65,12.47,18.03,2.07,0.0
20230425:1602,0.0,0.0,0.0,16.37,1.66,0.0
20230425:1702,0.0,0.0,0.0,15.04,1.45,0.0
20230425:1802,0.0,0.0,0.0,14.26,1.45,0.0
20230425:1902,0.0,0.0,0.0,14.13,1.66,0.0
20230425:2002,0.0,0.0,0.0,13.11,1.59,0.0
20230425:2102,0.0,0.0,0.0,12.38,1.59,0.0
20230425:2202,0.0,0.0,0.0,11.77,1.59,0.0
20230425:2302,0.0,0.0,0.0,11.3,1.52,0.0
20230426:0002,0.0,0.0,0.0,10.73,1.59,0.0
20230426:0102,0.0,0.0,0.0,10.23,1.52,0.0
20230426:0202,0.0,0.0,0.0,9.73,1.52,0.0
20230426:0302,0.0,0.0,0.0,9.21,1.52,0.0
20230426:0402,0.0,0.0,0.0,8.62,1.59,0.0
20230426:0502,0.0,0.0,0.0,8.18,1.59,0.0
20230426:0602,30.23,50.09,8.34,8.72,1.38,0.0
20230426:0702,31.41,76.69,19.4,13.26,0.76,0.0
20230426:0802,85.67,163.12,29.19,16.62,1.1,0.0
20230426:0902,142.18,231.25,36.96,18.08,1.72,0.0
20230426:1002,176.72,270.33,41.67,19.06,2.14,0.0
20230426:1102,180.23,275.54,42.4,19.61,2.21,0.0
20230426:1202,152.87,246.53,38.97,19.86,2.28,0.0
20230426:1302,110.15,192.54,32.12,19.64,2.14,0.0
20230426:1402,97.92,152.92,22.92,19.11,1.79,0.0
20230426:1502,53.11,81.06,12.23,18.51,1.38,0.0
20230426:1602,0.0,0.0,0.0,17.54,1.1,0.0
20230426:1702,0.0,0.0,0.0,16.39,0.76,0.0
20230426:1802,0.0,0.0,0.0,16.07,0.83,0.0
20230426:1902,0.0,0.0,0.0,15.86,0.41,0.0
20230426:2002,0.0,0.0,0.0,14.68,1.03,0.0
20230426:2102,0.0,0.0,0.0,13.53,1.31,0.0
20230426:2202,0.0,0.0,0.0,13.0,1.52,0.0
20230426:2302,0.0,0.0,0.0,12.83,1.52,0.0
20230427:0002,0.0,0.0,0.0,12.1,1.72,0.0
20230427:0102,0.0,0.0,0.0,11.75,1.86,0.0
20230427:0202,0.0,0.0,0.0,11.39,2.14,0.0
20230427:0302,0.0,0.0,0.0,11.38,2.34,0.0
20230427:0402,0.0,0.0,0.0,11.53,2.55,0.0
20230427:0502,0.0,0.0,0.0,11.86,2.76,0.0
20230427:0602,14.54,30.06,8.18,12.79,2.41,0.0
20230427:0702,92.47,127.34,19.21,14.03,2.83,0.0
20230427:0802,139.02,202.84,28.97,14.26,2.62,0.0
20230427:0902,203.62,259.34,36.69,14.97,2.76,0.0
20230427:1002,57.46,85.45,41.37,16.21,3.17,0.0
20230427:1102,231.47,293.96,42.08,16.62,3.03,0.0
20230427:1202,141.14,185.14,38.65,16.69,3.03,0.0
20230427:1302,69.65,100.64,31.84,17.22,2.76,0.0
20230427:1402,120.85,167.08,22.66,16.05,2.34,0.0
20230427:1502,45.69,71.04,11.99,15.96,1.66,0.0
20230427:1602,0.0,0.0,0.0,15.22,1.1,0.0
20230427:1702,0.0,0.0,0.0,14.54,1.03,0.0
20230427:1802,0.0,0.0,0.0,13.54,1.17,0.0
20230427:1902,0.0,0.0,0.0,13.06,1.17,0.0
20230427:2002,0.0,0.0,0.0,12.67,1.24,0.0
20230427:2102,0.0,0.0,0.0,12.48,1.24,0.0
20230427:2202,0.0,0.0,0.0,12.42,1.31,0.0
20230427:2302,0.0,0.0,0.0,12.36,1.24,0.0
20230428:0002,0.0,0.0,0.0,12.34,1.31,0.0
20230428:0102,0.0,0.0,0.0,12.54,1.31,0.0
20230428:0202,0.0,0.0,0.0,12.4,1.31,0.0
20230428:0302,0.0,0.0,0.0,12.22,1.31,0.0
20230428:0402,0.0,0.0,0.0,12.41,1.38,0.0
20230428:0502,0.0,0.0,0.0,12.23,1.38,0.0
20230428:0602,29.0,49.18,8.01,12.13,1.59,0.0
20230428:0702,71.31,111.83,19.02,13.31,2.21,0.0
20230428:0802,100.32,170.68,28.74,14.45,2.69,0.0
20230428:0902,164.38,244.41,36.42,15.4,3.1,0.0
20230428:1002,203.14,258.09,41.06,16.18,3.52,0.0
20230428:1102,258.2,335.28,41.76,16.54,3.52,0.0
20230428:1202,235.34,302.67,38.35,16.9,3.66,0.0
20230428:1302,107.34,185.8,31.55,16.73,3.38,0.0
20230428:1402,107.89,157.52,22.41,16.5,2.97,0.0
20230428:1502,50.85,77.42,11.76,16.14,2.41,0.0
20230428:1602,0.0,0.0,0.0,15.32,2.0,0.0
20230428:1702,0.0,0.0,0.0,14.14,1.72,0.0
20230428:1802,0.0,0.0,0.0,13.3,1.59,0.0
20230428:1902,0.0,0.0,0.0,13.25,1.45,0.0
20230428:2002,0.0,0.0,0.0,12.64,1.45,0.0
20230428:2102,0.0,0.0,0.0,11.95,1.59,0.0
20230428:2202,0.0,0.0,0.0,11.39,1.59,0.0
20230428:2302,0.0,0.0,0.0,11.03,1.52,0.0
20230429:0002,0.0,0.0,0.0,11.03,1.45,0.0
20230429:0102,0.0,0.0,0.0,11.13,1.31,0.0
20230429:0202,0.0,0.0,0.0,11.61,1.17,0.0
20230429:0302,0.0,0.0,0.0,12.03,0.97,0.0
20230429:0402,0.0,0.0,0.0,12.6,0.76,0.0
20230429:0502,0.0,0.0,0.0,12.87,0.48,0.0
20230429:0602,28.85,49.18,7.85,12.88,0.48,0.0
20230429:0702,92.89,131.44,18.83,13.67,0.62,0.0
20230429:0802,80.58,152.84,28.51,14.65,0.62,0.0
20230429:0902,140.03,223.22,36.16,15.56,1.17,0.0
20230429:1002,173.55,261.61,40.76,16.7,1.79,0.0
20230429:1102,166.86,258.06,41.44,17.24,2.0,0.0
20230429:1202,137.32,227.9,38.04,17.41,2.34,0.0
20230429:1302,90.74,171.15,31.27,17.27,2.28,0.0
20230429:1402,41.58,95.17,22.16,17.02,2.34,0.0
20230429:1502,31.2,52.83,11.53,16.4,2.41,0.0
20230429:1602,0.0,0.0,0.0,15.1,2.28,0.0
20230429:1702,0.0,0.0,0.0,13.89,2.41,0.0
20230429:1802,0.0,0.0,0.0,13.06,2.34,0.0
20230429:1902,0.0,0.0,0.0,12.45,2.48,0.0
20230429:2002,0.0,0.0,0.0,11.81,2.48,0.0
20230429:2102,0.0,0.0,0.0,11.21,2.48,0.0
20230429:2202,0.0,0.0,0.0,10.77,2.48,0.0
20230429:2302,0.0,0.0,0.0,10.4,2.48,0.0
20230430:0002,0.0,0.0,0.0,10.26,2.48,0.0
20230430:0102,0.0,0.0,0.0,9.77,2.34,0.0
20230430:0202,0.0,0.0,0.0,9.43,2.21,0.0
20230430:0302,0.0,0.0,0.0,9.0,2.07,0.0
20230430:0402,0.0,0.0,0.0,8.46,2.0,0.0
20230430:0502,0.0,0.0,0.0,7.95,2.07,0.0
20230430:0602,18.97,35.52,7.69,8.12,1.93,0.0
20230430:0702,23.54,58.52,18.64,11.41,1.59,0.0
20230430:0802,71.03,144.42,28.29,14.63,1.45,0.0
20230430:0902,122.04,210.61,35.89,17.14,1.17,0.0
20230430:1002,154.72,249.45,40.47,19.28,1.1,0.0
20230430:1102,159.12,255.26,41.13,20.59,1.45,0.0
20230430:1202,132.82,226.25,37.74,21.08,1.52,0.0
20230430:1302,85.77,168.01,31.0,21.07,1.31,0.0
20230430:1402,35.68,88.6,21.91,20.63,1.1,0.0
20230430:1502,29.25,51.0,11.31,19.68,1.1,0.0
20230430:1602,0.0,0.0,0.0,17.91,1.1,0.0
20230430:1702,0.0,0.0,0.0,16.12,1.1,0.0
20230430:1802,0.0,0.0,0.0,14.38,1.24,0.0
20230430:1902,0.0,0.0,0.0,13.14,1.38,0.0
20230430:2002,0.0,0.0,0.0,11.8,1.52,0.0
20230430:2102,0.0,0.0,0.0,10.59,1.66,0.0
20230430:2202,0.0,0.0,0.0,9.75,1.59,0.0
20230430:2302,0.0,0.0,0.0,9.2,1.59,0.0
20230501:0002,0.0,0.0,0.0,8.89,1.52,0.0
20230501:0102,0.0,0.0,0.0,8.77,1.59,0.0
20230501:0202,0.0,0.0,0.0,8.61,1.59,0.0
20230501:0302,0.0,0.0,0.0,8.49,1.59,0.0
20230501:0402,0.0,0.0,0.0,8.34,1.66,0.0
20230501:0502,0.0,0.0,0.0,8.14,1.66,0.0
20230501:0602,18.93,35.52,7.53,8.43,1.59,0.0
20230501:0702,21.6,53.89,18.45,12.1,1.31,0.0
20230501:0802,68.94,141.19,28.07,14.71,1.31,0.0
20230501:0902,119.04,206.77,35.63,16.46,0.97,0.0
20230501:1002,153.25,245.94,40.17,18.35,1.24,0.0
20230501:1102,163.36,255.59,40.83,19.06,1.79,0.0
20230501:1202,175.65,258.41,37.45,18.99,2.34,0.0
20230501:1302,86.52,165.54,30.73,18.43,2.55,0.0
20230501:1402,45.05,94.73,21.66,17.46,2.41,0.0
20230501:1502,42.66,67.4,11.09,16.49,2.0,0.0
20230501:1602,0.0,0.0,0.0,15.23,1.66,0.0
20230501:1702,0.0,0.0,0.0,13.94,1.59,0.0
20230501:1802,0.0,0.0,0.0,12.79,1.52,0.0
20230501:1902,0.0,0.0,0.0,11.94,1.66,0.0
20230501:2002,0.0,0.0,0.0,11.01,1.66,0.0
20230501:2102,0.0,0.0,0.0,10.32,1.59,0.0
20230501:2202,0.0,0.0,0.0,9.89,1.52,0.0
20230501:2302,0.0,0.0,0.0,9.54,1.52,0.0
20230502:0002,0.0,0.0,0.0,9.29,1.52,0.0
20230502:0102,0.0,0.0,0.0,9.4,1.45,0.0
20230502:0202,0.0,0.0,0.0,9.29,1.45,0.0
20230502:0302,0.0,0.0,0.0,9.22,1.38,0.0
