Latitude (decimal degrees):	-33.842
Longitude (decimal degrees):	18.840
Elevation (m):	216
Radiation database:	PVGIS-SARAH3


Slope: -1 deg. (optimum)
Azimuth: -180 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230213:0002,0.0,0.0,0.0,18.46,1.52,0.0
20230213:0102,0.0,0.0,0.0,18.23,1.52,0.0
20230213:0202,0.0,0.0,0.0,17.98,1.45,0.0
20230213:0302,0.0,0.0,0.0,17.7,1.38,0.0
20230213:0402,0.0,0.0,0.0,17.36,1.38,0.0
20230213:0502,52.17,96.64,8.05,17.53,1.31,0.0
20230213:0602,238.34,323.31,20.41,20.64,1.38,0.0
20230213:0702,417.32,548.23,32.86,23.62,0.41,0.0
20230213:0802,557.72,744.11,45.08,25.9,0.76,0.0
20230213:0902,663.96,902.14,56.53,27.67,1.31,0.0
20230213:1002,722.95,997.54,65.8,29.03,1.59,0.0
20230213:1102,738.2,1022.41,69.51,30.01,1.86,0.0
20230213:1202,718.63,984.65,64.99,30.37,2.28,0.0
20230213:1302,654.44,877.34,55.37,29.97,2.76,0.0
20230213:1402,550.7,724.23,43.79,29.22,2.97,0.0
20230213:1502,401.13,526.34,31.53,28.21,2.97,0.0
20230213:1602,214.57,303.43,19.08,26.85,2.9,0.0
20230213:1702,19.02,38.0,6.74,25.16,2.62,0.0
20230213:1802,0.0,0.0,0.0,23.52,2.21,0.0
20230213:1902,0.0,0.0,0.0,22.4,2.34,0.0
20230213:2002,0.0,0.0,0.0,21.84,2.07,0.0
20230213:2102,0.0,0.0,0.0,21.29,1.86,0.0
20230213:2202,0.0,0.0,0.0,20.54,1.66,0.0
20230213:2302,0.0,0.0,0.0,19.93,1.45,0.0
20230214:0002,0.0,0.0,0.0,19.42,1.38,0.0
20230214:0102,0.0,0.0,0.0,18.81,1.24,0.0
20230214:0202,0.0,0.0,0.0,18.57,1.17,0.0
20230214:0302,0.0,0.0,0.0,18.57,1.03,0.0
20230214:0402,0.0,0.0,0.0,18.85,0.76,0.0
20230214:0502,38.16,67.17,7.87,19.05,0.41,0.0
20230214:0602,168.53,228.08,20.24,20.54,0.34,0.0
20230214:0702,406.89,523.27,32.68,23.18,2.07,0.0
20230214:0802,551.21,713.27,44.89,25.17,2.55,0.0
20230214:0902,632.14,826.78,56.3,26.01,2.97,0.0
20230214:1002,728.5,967.73,65.51,27.12,3.17,0.0
20230214:1102,761.93,1020.27,69.17,28.07,3.31,0.0
20230214:1202,738.55,976.58,64.71,28.15,4.0,0.0
20230214:1302,675.5,879.16,55.14,27.77,4.41,0.0
20230214:1402,558.91,716.18,43.6,27.02,4.69,0.0
20230214:1502,401.03,514.32,31.35,25.73,4.9,0.0
20230214:1602,207.46,288.35,18.9,24.22,4.69,0.0
20230214:1702,20.72,40.0,6.55,22.75,4.14,0.0
20230214:1802,0.0,0.0,0.0,21.57,3.52,0.0
20230214:1902,0.0,0.0,0.0,21.47,3.03,0.0
20230214:2002,0.0,0.0,0.0,21.14,3.1,0.0
20230214:2102,0.0,0.0,0.0,20.77,2.62,0.0
20230214:2202,0.0,0.0,0.0,20.41,2.34,0.0
20230214:2302,0.0,0.0,0.0,19.97,2.14,0.0
20230215:0002,0.0,0.0,0.0,19.25,2.07,0.0
20230215:0102,0.0,0.0,0.0,18.68,2.07,0.0
20230215:0202,0.0,0.0,0.0,18.19,2.14,0.0
20230215:0302,0.0,0.0,0.0,18.15,2.28,0.0
20230215:0402,0.0,0.0,0.0,17.84,2.28,0.0
20230215:0502,49.64,98.79,7.68,18.25,2.48,0.0
20230215:0602,239.89,323.25,20.06,19.71,3.31,0.0
20230215:0702,433.01,547.1,32.5,21.81,3.66,0.0
20230215:0802,578.48,734.03,44.69,23.22,3.66,0.0
20230215:0902,690.01,891.06,56.07,24.43,3.66,0.0
20230215:1002,754.81,987.45,65.21,25.14,3.72,0.0
20230215:1102,771.93,1006.4,68.83,25.4,4.41,0.0
20230215:1202,735.79,947.88,64.41,24.6,4.76,0.0
20230215:1302,641.99,819.74,54.91,25.02,4.97,0.0
20230215:1402,534.34,674.48,43.4,24.62,5.31,0.0
20230215:1502,321.55,409.68,31.16,23.69,5.38,0.0
20230215:1602,122.5,169.04,18.72,22.47,4.97,0.0
20230215:1702,22.35,42.0,6.36,21.28,4.48,0.0
20230215:1802,0.0,0.0,0.0,20.33,3.72,0.0
20230215:1902,0.0,0.0,0.0,20.16,3.66,0.0
20230215:2002,0.0,0.0,0.0,19.58,3.86,0.0
20230215:2102,0.0,0.0,0.0,19.23,3.72,0.0
20230215:2202,0.0,0.0,0.0,19.08,3.59,0.0
20230215:2302,0.0,0.0,0.0,18.76,3.45,0.0
20230216:0002,0.0,0.0,0.0,18.53,3.31,0.0
20230216:0102,0.0,0.0,0.0,18.51,3.38,0.0
20230216:0202,0.0,0.0,0.0,18.64,3.38,0.0
20230216:0302,0.0,0.0,0.0,18.87,3.38,0.0
20230216:0402,0.0,0.0,0.0,18.63,3.59,0.0
20230216:0502,47.53,96.79,7.5,18.86,3.86,0.0
20230216:0602,232.35,313.2,19.89,20.1,4.34,0.0
20230216:0702,426.42,536.08,32.32,21.9,4.69,0.0
20230216:0802,580.13,728.97,44.5,23.52,5.1,0.0
20230216:0902,693.3,882.03,55.83,24.44,5.24,0.0
20230216:1002,755.09,971.5,64.91,25.42,5.45,0.0
20230216:1102,772.48,1001.31,68.48,26.35,5.45,0.0
20230216:1202,739.03,953.68,64.11,25.99,5.31,0.0
20230216:1302,665.16,852.28,54.67,25.97,5.1,0.0
20230216:1402,553.55,701.16,43.2,25.5,5.31,0.0
20230216:1502,399.88,509.23,30.97,24.22,5.03,0.0
20230216:1602,207.28,288.3,18.53,22.89,4.9,0.0
20230216:1702,16.56,34.0,6.17,21.73,4.62,0.0
20230216:1802,0.0,0.0,0.0,20.58,3.86,0.0
20230216:1902,0.0,0.0,0.0,20.02,4.21,0.0
20230216:2002,0.0,0.0,0.0,19.53,4.0,0.0
20230216:2102,0.0,0.0,0.0,19.3,4.48,0.0
20230216:2202,0.0,0.0,0.0,19.21,4.07,0.0
20230216:2302,0.0,0.0,0.0,19.12,3.79,0.0
20230217:0002,0.0,0.0,0.0,19.01,3.66,0.0
20230217:0102,0.0,0.0,0.0,18.93,3.66,0.0
20230217:0202,0.0,0.0,0.0,18.82,3.66,0.0
20230217:0302,0.0,0.0,0.0,18.74,3.52,0.0
20230217:0402,0.0,0.0,0.0,18.63,3.59,0.0
20230217:0502,34.65,63.18,7.32,18.69,3.17,0.0
20230217:0602,213.54,286.12,19.71,19.22,3.93,0.0
20230217:0702,346.77,435.53,32.14,20.33,4.07,0.0
20230217:0802,547.14,683.3,44.3,21.35,4.41,0.0
20230217:0902,699.6,883.89,55.6,22.23,4.69,0.0
20230217:1002,761.45,974.33,64.61,23.46,4.9,0.0
20230217:1102,776.68,999.21,68.13,24.23,5.03,0.0
20230217:1202,750.98,961.45,63.81,24.23,5.17,0.0
20230217:1302,675.69,855.14,54.43,23.54,5.1,0.0
20230217:1402,563.59,706.01,42.99,22.53,4.69,0.0
20230217:1502,399.16,503.19,30.78,21.84,4.83,0.0
20230217:1602,203.8,282.26,18.34,21.09,4.55,0.0
20230217:1702,16.69,34.0,5.97,20.31,4.07,0.0
20230217:1802,0.0,0.0,0.0,19.43,3.17,0.0
20230217:1902,0.0,0.0,0.0,19.03,3.31,0.0
20230217:2002,0.0,0.0,0.0,18.67,3.03,0.0
20230217:2102,0.0,0.0,0.0,18.35,3.17,0.0
20230217:2202,0.0,0.0,0.0,18.05,3.1,0.0
20230217:2302,0.0,0.0,0.0,17.85,3.1,0.0
20230218:0002,0.0,0.0,0.0,17.68,3.1,0.0
20230218:0102,0.0,0.0,0.0,17.57,3.03,0.0
20230218:0202,0.0,0.0,0.0,17.4,2.97,0.0
20230218:0302,0.0,0.0,0.0,17.23,2.9,0.0
20230218:0402,0.0,0.0,0.0,17.19,2.76,0.0
20230218:0502,43.34,89.69,7.14,17.33,2.55,0.0
20230218:0602,230.49,311.13,19.53,18.51,3.17,0.0
20230218:0702,424.96,536.96,31.96,20.89,3.1,0.0
20230218:0802,573.23,731.79,44.1,23.03,2.83,0.0
20230218:0902,665.75,876.92,55.36,25.34,2.28,0.0
20230218:1002,720.75,966.39,64.31,26.61,2.28,0.0
20230218:1102,693.65,932.0,67.78,27.75,2.48,0.0
20230218:1202,675.41,901.13,63.5,28.28,2.9,0.0
20230218:1302,646.24,852.13,54.18,28.37,3.24,0.0
20230218:1402,541.4,702.99,42.77,28.33,3.72,0.0
20230218:1502,389.82,506.12,30.58,26.93,4.0,0.0
20230218:1602,199.07,283.23,18.14,25.63,3.93,0.0
20230218:1702,14.99,32.0,5.76,23.82,3.45,0.0
20230218:1802,0.0,0.0,0.0,22.09,3.24,0.0
20230218:1902,0.0,0.0,0.0,20.96,3.1,0.0
20230218:2002,0.0,0.0,0.0,20.12,2.97,0.0
20230218:2102,0.0,0.0,0.0,19.3,2.83,0.0
20230218:2202,0.0,0.0,0.0,18.63,2.62,0.0
20230218:2302,0.0,0.0,0.0,17.96,2.34,0.0
20230219:0002,0.0,0.0,0.0,17.37,1.93,0.0
20230219:0102,0.0,0.0,0.0,16.73,1.66,0.0
20230219:0202,0.0,0.0,0.0,16.13,1.52,0.0
20230219:0302,0.0,0.0,0.0,15.66,1.38,0.0
20230219:0402,0.0,0.0,0.0,15.33,1.17,0.0
20230219:0502,41.98,87.67,6.96,15.59,1.03,0.0
20230219:0602,226.07,309.09,19.36,18.43,0.83,0.0
20230219:0702,413.06,534.91,31.78,21.26,0.69,0.0
20230219:0802,555.03,734.71,43.9,23.61,0.48,0.0
20230219:0902,664.71,885.78,55.12,25.56,1.66,0.0
20230219:1002,732.82,982.15,64.0,27.08,2.55,0.0
20230219:1102,753.8,1007.03,67.43,27.68,3.24,0.0
20230219:1202,730.28,963.35,63.19,27.28,3.72,0.0
20230219:1302,664.75,859.99,53.92,26.0,4.0,0.0
20230219:1402,554.33,705.92,42.55,24.54,3.86,0.0
20230219:1502,389.16,498.12,30.37,23.27,3.45,0.0
20230219:1602,172.33,238.11,17.94,21.83,3.52,0.0
20230219:1702,16.72,34.0,5.55,19.91,3.52,0.0
20230219:1802,0.0,0.0,0.0,17.98,3.1,0.0
20230219:1902,0.0,0.0,0.0,17.13,3.1,0.0
20230219:2002,0.0,0.0,0.0,16.79,3.45,0.0
20230219:2102,0.0,0.0,0.0,16.51,3.86,0.0
20230219:2202,0.0,0.0,0.0,16.39,4.62,0.0
20230219:2302,0.0,0.0,0.0,16.26,4.55,0.0
20230220:0002,0.0,0.0,0.0,16.06,4.48,0.0
20230220:0102,0.0,0.0,0.0,16.09,4.48,0.0
20230220:0202,0.0,0.0,0.0,15.98,5.24,0.0
20230220:0302,0.0,0.0,0.0,15.62,5.86,0.0
20230220:0402,0.0,0.0,0.0,15.38,5.17,0.0
20230220:0502,0.9,8.0,6.78,15.45,6.07,0.0
20230220:0602,14.28,30.0,19.18,15.53,5.45,0.0
20230220:0702,129.95,171.0,31.6,15.82,4.83,0.0
20230220:0802,98.57,134.0,43.7,15.69,6.21,0.0
20230220:0902,268.8,332.97,54.88,15.18,4.55,0.0
20230220:1002,107.39,144.0,63.69,14.65,4.14,0.0
20230220:1102,106.56,143.0,67.07,14.42,3.59,0.0
20230220:1202,487.75,596.42,62.87,14.6,4.0,0.0
20230220:1302,589.66,719.36,53.66,15.65,4.69,0.0
20230220:1402,433.43,528.24,42.32,16.51,5.24,0.0
20230220:1502,311.88,384.63,30.16,15.96,5.03,0.0
20230220:1602,92.08,127.01,17.73,15.29,4.9,0.0
20230220:1702,7.59,20.0,5.34,14.52,3.1,0.0
20230220:1802,0.0,0.0,0.0,13.79,2.69,0.0
20230220:1902,0.0,0.0,0.0,13.94,2.21,0.0
20230220:2002,0.0,0.0,0.0,13.55,1.93,0.0
20230220:2102,0.0,0.0,0.0,13.63,1.59,0.0
20230220:2202,0.0,0.0,0.0,13.5,1.45,0.0
20230220:2302,0.0,0.0,0.0,13.36,1.59,0.0
20230221:0002,0.0,0.0,0.0,13.37,1.45,0.0
20230221:0102,0.0,0.0,0.0,13.18,1.38,0.0
20230221:0202,0.0,0.0,0.0,12.84,1.17,0.0
20230221:0302,0.0,0.0,0.0,12.81,0.9,0.0
20230221:0402,0.0,0.0,0.0,12.71,0.9,0.0
20230221:0502,27.85,51.09,6.6,12.89,1.03,0.0
20230221:0602,156.76,207.0,19.01,14.32,1.31,0.0
20230221:0702,288.22,359.73,31.42,15.15,1.72,0.0
20230221:0802,519.15,650.43,43.5,16.53,1.52,0.0
20230221:0902,498.67,629.07,54.64,17.52,1.72,0.0
20230221:1002,684.43,880.32,63.38,18.09,1.86,0.0
20230221:1102,606.95,780.4,66.71,19.53,2.0,0.0
20230221:1202,754.43,983.97,62.54,20.36,2.14,0.0
20230221:1302,680.16,873.71,53.39,20.58,2.34,0.0
20230221:1402,567.08,715.7,42.09,20.15,2.55,0.0
20230221:1502,401.18,508.94,29.95,19.51,2.28,0.0
20230221:1602,199.61,279.13,17.52,18.74,2.21,0.0
20230221:1702,13.41,29.0,5.12,17.53,2.34,0.0
20230221:1802,0.0,0.0,0.0,16.15,2.41,0.0
20230221:1902,0.0,0.0,0.0,15.52,2.21,0.0
20230221:2002,0.0,0.0,0.0,14.92,1.93,0.0
20230221:2102,0.0,0.0,0.0,14.3,1.79,0.0
20230221:2202,0.0,0.0,0.0,13.55,1.66,0.0
20230221:2302,0.0,0.0,0.0,12.95,1.59,0.0
20230222:0002,0.0,0.0,0.0,12.53,1.59,0.0
20230222:0102,0.0,0.0,0.0,12.04,1.59,0.0
20230222:0202,0.0,0.0,0.0,11.87,1.52,0.0
20230222:0302,0.0,0.0,0.0,11.69,1.52,0.0
20230222:0402,0.0,0.0,0.0,11.41,1.59,0.0
20230222:0502,36.96,78.56,6.42,11.33,1.59,0.0
20230222:0602,224.34,302.96,18.84,15.02,1.59,0.0
20230222:0702,419.06,528.73,31.24,17.63,1.52,0.0
20230222:0802,567.5,726.52,43.3,20.09,1.38,0.0
20230222:0902,662.26,882.52,54.39,22.34,0.76,0.0
20230222:1002,705.56,979.88,63.06,24.2,0.14,0.0
20230222:1102,730.09,1004.73,66.34,25.5,0.9,0.0
20230222:1202,710.59,960.05,62.22,26.07,1.59,0.0
20230222:1302,644.32,851.79,53.12,26.03,2.07,0.0
20230222:1402,537.37,695.74,41.86,25.49,2.48,0.0
20230222:1502,382.51,495.92,29.73,24.62,2.76,0.0
20230222:1602,187.06,268.09,17.3,23.45,2.69,0.0
20230222:1702,13.08,29.0,4.9,22.05,2.41,0.0
20230222:1802,0.0,0.0,0.0,20.52,2.28,0.0
20230222:1902,0.0,0.0,0.0,20.0,2.28,0.0
20230222:2002,0.0,0.0,0.0,19.07,2.28,0.0
20230222:2102,0.0,0.0,0.0,18.16,2.21,0.0
20230222:2202,0.0,0.0,0.0,17.25,2.07,0.0
20230222:2302,0.0,0.0,0.0,16.45,2.07,0.0
20230223:0002,0.0,0.0,0.0,15.75,2.07,0.0
20230223:0102,0.0,0.0,0.0,15.25,2.14,0.0
20230223:0202,0.0,0.0,0.0,14.8,2.07,0.0
20230223:0302,0.0,0.0,0.0,14.42,2.07,0.0
20230223:0402,0.0,0.0,0.0,14.11,2.07,0.0
20230223:0502,34.45,75.53,6.24,14.16,2.0,0.0
20230223:0602,218.81,298.92,18.66,17.22,1.79,0.0
20230223:0702,410.51,526.69,31.06,20.83,1.45,0.0
20230223:0802,555.37,727.45,43.1,23.8,1.1,0.0
20230223:0902,648.44,884.43,54.15,26.24,0.62,0.0
20230223:1002,697.94,976.84,62.75,28.0,0.55,0.0
20230223:1102,720.85,1001.71,65.97,28.96,1.24,0.0
20230223:1202,705.31,962.97,61.88,29.25,1.93,0.0
20230223:1302,639.93,852.71,52.84,28.89,2.55,0.0
20230223:1402,534.89,696.67,41.61,27.85,3.1,0.0
20230223:1502,380.94,495.87,29.5,26.24,3.52,0.0
20230223:1602,185.63,268.05,17.09,24.49,3.38,0.0
20230223:1702,11.69,27.0,4.68,22.8,2.83,0.0
20230223:1802,0.0,0.0,0.0,21.24,2.69,0.0
20230223:1902,0.0,0.0,0.0,20.53,2.34,0.0
20230223:2002,0.0,0.0,0.0,19.74,2.07,0.0
20230223:2102,0.0,0.0,0.0,18.66,2.0,0.0
20230223:2202,0.0,0.0,0.0,17.73,2.07,0.0
20230223:2302,0.0,0.0,0.0,17.02,2.07,0.0
20230224:0002,0.0,0.0,0.0,16.53,1.86,0.0
20230224:0102,0.0,0.0,0.0,16.04,1.86,0.0
20230224:0202,0.0,0.0,0.0,15.68,1.79,0.0
20230224:0302,0.0,0.0,0.0,15.42,1.66,0.0
20230224:0402,0.0,0.0,0.0,15.06,1.66,0.0
20230224:0502,33.18,74.52,6.06,14.88,1.66,0.0
20230224:0602,217.56,298.87,18.49,17.58,1.66,0.0
20230224:0702,412.9,525.63,30.88,20.54,2.21,0.0
20230224:0802,570.95,728.37,42.9,22.39,2.62,0.0
20230224:0902,682.95,885.35,53.9,23.7,2.9,0.0
20230224:1002,745.23,977.76,62.43,24.54,3.1,0.0
20230224:1102,762.14,1002.63,65.61,24.97,3.31,0.0
20230224:1202,728.24,947.12,61.54,24.72,3.72,0.0
20230224:1302,666.87,853.64,52.56,23.87,3.93,0.0
20230224:1402,549.6,695.61,41.37,23.43,3.93,0.0
20230224:1502,389.65,496.8,29.28,22.3,3.93,0.0
20230224:1602,185.51,264.01,16.86,21.04,3.79,0.0
20230224:1702,11.9,27.0,4.45,19.67,3.17,0.0
20230224:1802,0.0,0.0,0.0,18.5,3.17,0.0
20230224:1902,0.0,0.0,0.0,17.71,2.76,0.0
20230224:2002,0.0,0.0,0.0,17.1,2.48,0.0
20230224:2102,0.0,0.0,0.0,16.59,2.48,0.0
20230224:2202,0.0,0.0,0.0,16.19,2.48,0.0
20230224:2302,0.0,0.0,0.0,16.03,2.48,0.0
20230225:0002,0.0,0.0,0.0,15.69,2.41,0.0
20230225:0102,0.0,0.0,0.0,15.52,2.34,0.0
20230225:0202,0.0,0.0,0.0,15.26,2.21,0.0
20230225:0302,0.0,0.0,0.0,15.17,2.14,0.0
20230225:0402,0.0,0.0,0.0,15.15,2.34,0.0
20230225:0502,31.56,70.45,5.88,15.25,2.28,0.0
20230225:0602,218.24,297.82,18.32,16.87,3.1,0.0
20230225:0702,405.03,505.73,30.7,18.6,3.72,0.0
20230225:0802,540.86,673.93,42.7,19.65,3.66,0.0
20230225:0902,677.85,857.65,53.65,20.57,3.59,0.0
20230225:1002,756.9,974.74,62.11,21.84,3.52,0.0
20230225:1102,770.29,998.63,65.23,22.74,3.59,0.0
20230225:1202,738.97,953.96,61.2,23.29,3.79,0.0
20230225:1302,663.26,844.69,52.27,23.37,4.21,0.0
20230225:1402,546.97,687.63,41.12,22.91,4.55,0.0
20230225:1502,383.85,487.8,29.04,22.15,4.62,0.0
20230225:1602,183.51,261.98,16.63,21.11,4.48,0.0
20230225:1702,10.57,25.0,4.22,19.72,3.72,0.0
20230225:1802,0.0,0.0,0.0,18.37,3.79,0.0
20230225:1902,0.0,0.0,0.0,17.45,3.93,0.0
20230225:2002,0.0,0.0,0.0,16.78,4.14,0.0
20230225:2102,0.0,0.0,0.0,16.22,4.07,0.0
20230225:2202,0.0,0.0,0.0,15.75,4.0,0.0
20230225:2302,0.0,0.0,0.0,15.3,3.86,0.0
20230226:0002,0.0,0.0,0.0,14.94,3.72,0.0
20230226:0102,0.0,0.0,0.0,14.28,3.52,0.0
20230226:0202,0.0,0.0,0.0,14.0,3.24,0.0
20230226:0302,0.0,0.0,0.0,13.68,3.03,0.0
20230226:0402,0.0,0.0,0.0,13.41,2.83,0.0
20230226:0502,29.61,68.45,5.71,13.4,2.55,0.0
20230226:0602,216.69,293.78,18.14,15.18,3.03,0.0
20230226:0702,418.49,523.52,30.52,18.07,3.1,0.0
20230226:0802,571.42,721.3,42.49,20.81,2.9,0.0
20230226:0902,679.21,883.24,53.4,23.42,2.55,0.0
20230226:1002,729.3,975.65,61.79,25.58,2.14,0.0
20230226:1102,739.13,1006.45,64.86,27.27,1.86,0.0
20230226:1202,704.38,954.88,60.86,28.39,2.07,0.0
20230226:1302,637.58,849.55,51.98,28.85,2.55,0.0
20230226:1402,531.07,695.47,40.86,28.7,3.03,0.0
20230226:1502,373.27,491.7,28.8,27.9,3.31,0.0
20230226:1602,175.0,257.94,16.4,26.24,3.31,0.0
20230226:1702,9.67,24.0,3.98,24.0,3.52,0.0
20230226:1802,0.0,0.0,0.0,21.94,3.52,0.0
20230226:1902,0.0,0.0,0.0,20.13,3.66,0.0
20230226:2002,0.0,0.0,0.0,19.02,3.59,0.0
20230226:2102,0.0,0.0,0.0,18.07,3.45,0.0
20230226:2202,0.0,0.0,0.0,17.31,3.17,0.0
20230226:2302,0.0,0.0,0.0,16.66,2.9,0.0
20230227:0002,0.0,0.0,0.0,16.14,2.76,0.0
20230227:0102,0.0,0.0,0.0,15.77,2.69,0.0
20230227:0202,0.0,0.0,0.0,15.28,2.48,0.0
20230227:0302,0.0,0.0,0.0,14.77,2.34,0.0
20230227:0402,0.0,0.0,0.0,14.4,2.34,0.0
20230227:0502,27.6,64.39,5.53,14.4,2.48,0.0
20230227:0602,208.31,285.75,17.97,16.93,2.83,0.0
20230227:0702,405.48,512.51,30.34,20.51,3.38,0.0
20230227:0802,562.76,713.28,42.29,23.25,3.72,0.0
20230227:0902,675.47,873.21,53.15,25.61,3.93,0.0
20230227:1002,736.02,970.56,61.46,27.53,3.86,0.0
20230227:1102,751.42,1000.36,64.48,28.93,3.93,0.0
20230227:1202,718.1,955.7,60.51,29.77,3.93,0.0
20230227:1302,640.09,844.47,51.68,29.94,3.86,0.0
20230227:1402,528.68,689.4,40.6,29.46,3.93,0.0
20230227:1502,366.55,482.67,28.56,28.36,3.93,0.0
20230227:1602,169.63,251.9,16.16,26.63,3.72,0.0
20230227:1702,7.15,20.0,3.74,24.49,3.59,0.0
20230227:1802,0.0,0.0,0.0,22.75,3.59,0.0
20230227:1902,0.0,0.0,0.0,21.5,3.38,0.0
20230227:2002,0.0,0.0,0.0,20.49,3.38,0.0
20230227:2102,0.0,0.0,0.0,19.51,3.31,0.0
20230227:2202,0.0,0.0,0.0,18.74,3.17,0.0
20230227:2302,0.0,0.0,0.0,18.3,2.97,0.0
20230228:0002,0.0,0.0,0.0,17.96,2.76,0.0
20230228:0102,0.0,0.0,0.0,17.73,2.62,0.0
20230228:0202,0.0,0.0,0.0,17.5,2.41,0.0
20230228:0302,0.0,0.0,0.0,17.49,2.62,0.0
20230228:0402,0.0,0.0,0.0,17.46,2.69,0.0
20230228:0502,25.05,60.35,5.36,17.38,2.55,0.0
20230228:0602,201.9,280.71,17.8,18.75,2.48,0.0
20230228:0702,396.75,507.46,30.16,21.63,2.48,0.0
20230228:0802,549.78,710.19,42.08,24.21,2.21,0.0
20230228:0902,651.16,862.23,52.89,26.54,2.21,0.0
20230228:1002,708.35,958.6,61.13,28.31,2.14,0.0
20230228:1102,720.78,982.49,64.1,29.48,2.28,0.0
20230228:1202,699.01,937.83,60.15,29.72,3.1,0.0
20230228:1302,646.85,846.3,51.38,28.87,4.14,0.0
20230228:1402,525.7,675.46,40.33,27.32,4.48,0.0
20230228:1502,363.06,471.68,28.32,25.92,4.41,0.0
20230228:1602,166.22,244.87,15.93,24.34,4.07,0.0
20230228:1702,6.03,18.0,3.5,22.62,3.31,0.0
20230228:1802,0.0,0.0,0.0,21.18,3.17,0.0
20230228:1902,0.0,0.0,0.0,20.53,3.31,0.0
20230228:2002,0.0,0.0,0.0,19.92,3.24,0.0
20230228:2102,0.0,0.0,0.0,19.51,3.24,0.0
20230228:2202,0.0,0.0,0.0,19.18,2.97,0.0
20230228:2302,0.0,0.0,0.0,18.96,2.76,0.0
20230301:0002,0.0,0.0,0.0,18.7,2.48,0.0
20230301:0102,0.0,0.0,0.0,18.16,2.28,0.0
20230301:0202,0.0,0.0,0.0,17.77,2.28,0.0
20230301:0302,0.0,0.0,0.0,17.53,2.34,0.0
20230301:0402,0.0,0.0,0.0,17.23,2.34,0.0
20230301:0502,23.45,55.27,5.19,17.09,2.28,0.0
20230301:0602,196.77,274.67,17.63,18.88,2.69,0.0
20230301:0702,393.41,502.4,29.98,21.73,2.83,0.0
20230301:0802,545.05,701.15,41.87,24.44,2.62,0.0
20230301:0902,648.45,856.14,52.64,26.93,2.48,0.0
20230301:1002,699.85,946.57,60.81,28.98,2.28,0.0
20230301:1102,710.28,976.37,63.72,30.48,2.0,0.0
20230301:1202,677.21,930.72,59.8,31.36,1.93,0.0
20230301:1302,612.62,826.41,51.07,31.51,2.41,0.0
20230301:1402,505.17,668.38,40.06,30.96,2.97,0.0
20230301:1502,350.93,467.6,28.07,29.84,3.45,0.0
20230301:1602,158.36,239.84,15.68,28.04,3.45,0.0
20230301:1702,6.5,19.0,3.25,25.87,3.24,0.0
20230301:1802,0.0,0.0,0.0,24.06,3.17,0.0
20230301:1902,0.0,0.0,0.0,22.35,3.03,0.0
20230301:2002,0.0,0.0,0.0,21.35,3.1,0.0
20230301:2102,0.0,0.0,0.0,20.38,2.9,0.0
20230301:2202,0.0,0.0,0.0,19.59,2.55,0.0
20230301:2302,0.0,0.0,0.0,18.84,2.41,0.0
20230302:0002,0.0,0.0,0.0,18.11,2.28,0.0
20230302:0102,0.0,0.0,0.0,17.57,2.28,0.0
20230302:0202,0.0,0.0,0.0,17.14,2.21,0.0
20230302:0302,0.0,0.0,0.0,16.78,2.07,0.0
20230302:0402,0.0,0.0,0.0,16.56,2.0,0.0
20230302:0502,21.7,55.31,5.01,16.52,1.86,0.0
20230302:0602,191.92,270.63,17.46,19.42,1.45,0.0
20230302:0702,379.41,496.36,29.8,24.33,1.45,0.0
20230302:0802,523.0,694.11,41.67,28.01,1.45,0.0
20230302:0902,621.76,844.17,52.38,30.29,1.66,0.0
20230302:1002,684.05,939.53,60.48,31.52,2.07,0.0
20230302:1102,700.86,962.43,63.34,31.91,2.41,0.0
20230302:1202,672.75,917.77,59.44,31.86,2.48,0.0
20230302:1302,601.48,813.44,50.76,31.7,2.21,0.0
20230302:1402,494.24,661.35,39.79,31.46,2.07,0.0
20230302:1502,338.2,457.59,27.81,30.84,2.0,0.0
20230302:1602,151.54,233.8,15.43,29.65,1.86,0.0
20230302:1702,5.26,17.0,3.0,27.9,1.45,0.0
20230302:1802,0.0,0.0,0.0,26.22,0.76,0.0
20230302:1902,0.0,0.0,0.0,24.44,0.62,0.0
20230302:2002,0.0,0.0,0.0,22.55,1.17,0.0
20230302:2102,0.0,0.0,0.0,21.16,1.59,0.0
20230302:2202,0.0,0.0,0.0,19.98,1.93,0.0
20230302:2302,0.0,0.0,0.0,19.02,2.07,0.0
20230303:0002,0.0,0.0,0.0,18.33,2.14,0.0
20230303:0102,0.0,0.0,0.0,17.69,2.34,0.0
20230303:0202,0.0,0.0,0.0,17.26,2.28,0.0
20230303:0302,0.0,0.0,0.0,16.91,2.41,0.0
20230303:0402,0.0,0.0,0.0,16.51,2.34,0.0
20230303:0502,8.78,22.0,4.84,16.39,2.21,0.0
20230303:0602,89.09,124.99,17.29,17.34,2.34,0.0
20230303:0702,124.21,167.0,29.62,18.65,2.34,0.0
20230303:0802,204.02,263.98,41.46,19.97,2.41,0.0
20230303:0902,216.93,281.99,52.12,21.74,2.48,0.0
20230303:1002,101.76,143.0,60.14,23.36,2.41,0.0
20230303:1102,349.97,453.83,62.95,24.45,2.41,0.0
20230303:1202,385.36,499.64,59.07,24.9,2.55,0.0
20230303:1302,271.88,353.92,50.45,24.48,2.55,0.0
